港电视,#genre#
凤凰资讯,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhzxhd
凤凰资讯,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225901/index.m3u8
凤凰资讯,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8?epg=tvmao-600?回看=http://72ltw.xyz/zcjwx/PLTV/zjhk.php?id=6491.smil
凤凰资讯,http://223.110.245.137/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰资讯,http://125.210.152.18:9090/live/FHZX_1200.m3u8
凤凰资讯,http://39.134.176.154/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228597/index.m3u8
凤凰资讯,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228016/index.m3u8
凤凰中文,http://cdn.chxjon.cn/iptv/QQ582185381/gzyx.php?id=fhwshd
凤凰中文,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8
凤凰中文,http://223.110.245.138/PLTV/3/224/3221226922/index.m3u8
凤凰中文,http://117.169.120.138:8080/live/fhchinese/.m3u8
凤凰中文,http://xiaojun.cyou/7108live/gt/fhzwt/live1.m3u8
凤凰中文,http://otttv.bj.chinamobile.com:80/TVOD/88888888/224/3221225948/1.m3u8
凤凰中文,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225948/1.m3u8
凤凰中文,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221225942/1.m3u8
凤凰中文,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225900/index.m3u8
凤凰中文,http://221.179.217.70/PLTV/88888888/224/3221225942/1.m3u8?epg=tvmao-800?回看=http://72ltw.xyz/zcjwx/PLTV/zjhk.php?id=6368.smil
凤凰中文,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226547/index.m3u8
凤凰香港,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=38044364
凤凰香港,http://223.82.250.72/live/fhhongkong/1.m3u8
TVB明珠,http://116.199.5.51:8114/00000000/2e368e04c76446bc9d30ca7a9f934dae/index.m3u8?Fsv_cid=1034&Fsv_chan_hls_se_idx=12&Fsv_ctype=LIVES&version=9&Fsv_rate_id=1&Fsv_otype=1&FvSeid=5abd1660af1babb4&Pcontent_id=7f88be5fb6fd426494f6aa240f1dc7a9&Provider_id=00000000&Fsv_filetype=1&Fsv_ShiftEnable=0&Fsv_SV_PARAM1=0&Fsv_ShiftTsp=240&Fsv_CMSID=00000000&AuthInfo=P2ZSH2gNMZ8aiVfV%2BjCYczoGsAYoDo4KY5I3eHfJhGTKdSzgLwCHoSet9it9fXrMLwehJxh9gmO%2F%0AOFrWyxI%2BtteLTJnZKT7Lg8BRYQNXMQU%3D%0A
TVB翡翠,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=188&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
TVB翡翠,http://xiaojun.cyou/7108live/gt/fct/live1.m3u8
J2,http://xiaojun.cyou/7108live/gt/j2/live1.m3u8
无线新闻,http://xiaojun.cyou/7108live/gt/wxxwt/live1.m3u8
有线新闻,http://xiaojun.cyou/7108live/gt/yxxwt/live1.m3u8
亚洲电视,http://xiaojun.cyou/7108live/gt/atv/live1.m3u8
凤凰香港,http://xiaojun.cyou/7108live/gt/fhxgt/live1.m3u8
壹新闻,http://154.215.142.99/1/sb.php?id=303
三立新闻,http://154.215.142.99/1/sb.php?id=8
三立新闻,http://154.215.142.99/1/sb.php?id=4
三立新闻,http://anbo.hicloud.co/index.php?id=8
三立新闻,http://anbo.hicloud.co/index.php?id=1008
TVBS新闻,http://154.215.142.99/1/sb.php?id=2
TVBS新闻,http://seb.sason.top/sc/tvbsxw_fhd.m3u8
中天新闻,http://154.215.142.99/1/sb.php?id=3
中天新闻,http://anbo.hicloud.co/index.php?id=1002
中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8
中天新闻,http://api.wakds.xyz/twtv.php?play=3
东森新闻,http://154.215.142.99/1/sb.php?id=9
东森新闻,http://anbo.hicloud.co/index.php?id=1016
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
民视新闻,http://seb.sason.top/sc/msxw_fhd.m3u8
华视新闻,http://154.215.142.99/1/sb.php?id=6
华视新闻,http://anbo.hicloud.co/index.php?id=6
华视新闻,http://seb.sason.top/sc/hsxw_fhd.m3u8
中视新闻,http://154.215.142.99/1/sb.php?id=7
中视新闻,http://anbo.hicloud.co/index.php?id=7
中视新闻,http://seb.sason.top/sc/zsxw_fhd.m3u8
视新闻,http://154.215.142.99/1/sb.php?id=1
视新闻,http://anbo.hicloud.co/index.php?id=1
视新闻,http://seb.sason.top/sc/tsxw_fhd.m3u8
非凡新闻,http://anbo.hicloud.co/index.php?id=314
非凡新闻,http://154.215.142.99/1/sb.php?id=314
TVB翡翠,http://173.242.121.138/A2021.php?id=30
TVB翡翠,http://173.242.121.138/A2021.php?id=390
TVB明珠,http://173.242.121.138/A2021.php?id=391
无线新闻,http://173.242.121.138/A2021.php?id=394
无线财经,http://173.242.121.138/A2021.php?id=393
有线新闻,http://173.242.121.138/A2021.php?id=395
NOW新聞,http://173.242.121.138/A2021.php?id=396
J2,http://173.242.121.138/A2021.php?id=392
东森财经,http://154.215.142.99/1/sb.php?id=12
东森财经,http://seb.sason.top/sc/dscjxw_fhd.m3u8
三立湾,http://154.215.142.99/1/sb.php?id=21
邵氏电影,http://42.56.91.136/live-bvc/164219/live_97065163_17925468.m3u8
家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
影迷數位電影,http://154.215.142.99/1/sb.php?id=497
凤凰电影,https://itv.ahcme.edu.cn/hls/fhdy.m3u8
卫视电影,http://154.215.142.99/1/sb.php?id=1085
美亚电影,http://154.215.142.99/1/sb.php?id=375
天映频道,http://154.215.142.99/1/sb.php?id=441
天映电影HD,http://50.7.161.82:8278/streams/d/Celestial/playlist.m3u8
天映经典HD,http://50.7.161.82:8278/streams/d/Celestial2/playlist.m3u8
东森电影,http://154.215.142.99/1/sb.php?id=350
东森洋片,http://154.215.142.99/1/sb.php?id=32
龙华电影,http://154.215.142.99/1/sb.php?id=311
卫视电影,http://anbo.hicloud.co/index.php?id=93
星卫电影,http://anbo.hicloud.co/index.php?id=496
緯來電影,http://anbo.hicloud.co/index.php?id=96
华纳电影,http://anbo.hicloud.co/index.php?id=83
美亚电影,http://anbo.hicloud.co/index.php?id=375
好莱坞电影,http://anbo.hicloud.co/index.php?id=37
卫视电影,http://anbo.hicloud.co/index.php?id=369
thrill,http://anbo.hicloud.co/index.php?id=18
影迷數位電影,http://anbo.hicloud.co/index.php?id=497
龙华经典,http://anbo.hicloud.co/index.php?id=100
龙华电影,http://anbo.hicloud.co/index.php?id=311
龙祥时代,http://154.215.142.99/1/sb.php?id=373
卫视电影,http://154.215.142.99/1/sb.php?id=93
星卫电影,http://154.215.142.99/1/sb.php?id=496
光影欧洲,http://154.215.142.99/1/sb.php?id=1157
华纳电影,http://154.215.142.99/1/sb.php?id=83
好莱坞电影,http://154.215.142.99/1/sb.php?id=37
thrill,http://154.215.142.99/1/sb.php?id=18
卫视电影,http://154.215.142.99/1/sb.php?id=369
金光布袋,http://154.215.142.99/1/sb.php?id=1060
AXN,http://htv-drm-live-cdn.fptplay.net/CDN-FPT02/AXN-HD-1080p/playlist.m3u8
Blue Ant Entertainment,https://livecdn.fptplay.net/hda/blueantent_hls.smil/chunklist_b2500000.m3u8
Cinemax,http://136.243.177.164/CINEMAX/index.m3u8
Cinemax,http://bos.00387.info:8080/Cinemax1/index.m3u8?token=test
Celestial Movies,http://210.210.155.35/qwr9ew/s/s33/index.m3u8
Thrill,http://45.126.83.51/qwr9ew/s/s34/index.m3u8
FOX family,https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOXFAMILY-HD-1080p/playlist.m3u8
Fox Life,http://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOXLIFE-SD-720p/playlist.m3u8
Fox_Movies,https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOXMOVIES-HD-1080p/playlist.m3u8
Fox_Movies,https://livecdn.fptplay.net/foxlive/foxmovieshd_hls.smil/chunklist_b2500000.m3u8
Fox_Movies,https://www.livedoomovies.com/02_FoxMoviesTH_720p/chunklist.m3u8
FOX_HD,https://htv-drm-live-cdn.fptplay.net/CDN-FPT02/FOX-HD-1080p/playlist.m3u8
HBO2,http://bos.00387.info:8080/HBO2/index.m3u8?token=test
HBO家庭,https://liveorigin01.hbogoasia.com:8443/origin/live/main/FAMILY/index.m3u8
AXN,http://anbo.hicloud.co/index.php?id=103
AMC最爱电影,http://anbo.hicloud.co/index.php?id=92
FOX CRIME,http://anbo.hicloud.co/index.php?id=386
HBO_HD,http://anbo.hicloud.co/index.php?id=332
CineMAX,http://anbo.hicloud.co/index.php?id=346
HBO原創,http://anbo.hicloud.co/index.php?id=329
寰宇综合,http://anbo.hicloud.co/index.php?id=190
ELTA綜合,http://api.wakds.xyz/twtv.php?play=1137
壹综合,http://154.215.142.99/1/sb.php?id=305
三立综合,http://154.215.142.99/1/sb.php?id=315
TVBS综合,http://154.215.142.99/1/sb.php?id=16
东森综合,http://154.215.142.99/1/sb.php?id=372
中天综合,http://154.215.142.99/1/sb.php?id=325
JET综合,http://154.215.142.99/1/sb.php?id=41
高点综合,http://154.215.142.99/1/sb.php?id=99
世新综合,http://154.215.142.99/1/sb.php?id=95
TVBSHD,http://anbo.hicloud.co/index.php?id=16
JET综合,http://anbo.hicloud.co/index.php?id=41
TVB经典,http://154.215.142.99/1/sb.php?id=1083
TVB经典,http://8.210.39.156/mytv.php?playurl=http://51.79.208.139:61980/myplay/c_58029/index.m3u8
龙华经典,http://154.215.142.99/1/sb.php?id=364
中视经典,http://154.215.142.99/1/sb.php?id=185
